,Name,Country,Age,Role,Batting style,Bowling style,Test Matches,ODI Matches,T20 Matches,Ipl Matches,Test Innings,ODI Innings,T20 Innings,IPL Innings,Test Runs,ODI Runs,T20 Runs,IPL Runs,Test Balls,ODI Balls,T20 Balls,IPL Balls,Test Highest,ODI Highest,T20 Highest,IPL Highest,Test Average,ODI Average,T20 Average,IPL Average,Test Strikerate,ODI Strikerate,T20 Strikerate,IPL Strikerate,Test Fours,ODI Fours,T20 Fours,IPL Fours,Test Sixes,ODI Sixes,T20 Sixes,IPL Sixes,Test Ducks,ODI Ducks,T20 Ducks,IPL Ducks,Test 50s,ODI 50S,T20 50s,IPL 50s,Test 100s,ODI 100s,T20 100s,IPL 100s,Test 200s,ODI 200s,T20 200s,IPL 200s,Test bowl balls,Test bowl runs,Test Maidens,Test Wickets,Test Economy,ODI bowl balls,ODI bowl runs,ODI Maidens,ODI Wickets,ODI Economy,T20 bowl balls,T20 bowl runs,T20 Maidens,T20 Wickets,T20 Economy,IPL bowl balls,IPL bowl runs,IPL Maidens,IPL Wickets,IPL Economy
576,Sami Faridi,Canada,42,Bowler ,Right Handed Bat ,Left-arm wrist-spin,0,3,0,0,0,2,0,0,0,19,0,0,0,31,0,0,0,16,0,0,0,9.5,0,0,0,61.30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,6.3,0,0,0,0,0,0,0,0,0,0
577,Ruvindu Gunasekera,Canada,34,Batsman ,Left Handed Bat ,Right-arm legbreak,0,19,8,0,0,19,8,0,0,455,202,0,0,679,188,0,0,72,65,0,0,23.95,25.25,0,0,67.02,107.45,0,0,40,23,0,0,11,4,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Karun Jethi,Canada,42,Bowler ,Right Handed Bat ,Right-arm offbreak,0,3,5,0,0,3,5,0,0,87,41,0,0,79,59,0,0,46,24,0,0,43.5,10.25,0,0,110.13,69.50,0,0,10,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,85,2,2,5,0,0,0,0,0,0,0,0,0,0
579,Eion Katchay,Canada,48,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,5,4,0,0,3,3,0,0,23,15,0,0,41,25,0,0,12,8,0,0,11.5,15,0,0,56.10,60.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,143,4,4,4.93,60,71,0,3,7.1,0,0,0,0,0
580,Rizwan Cheema,Canada,47,Batsman ,Right Handed Bat ,Right-arm medium,0,33,24,0,0,32,24,0,0,764,389,0,0,685,314,0,0,94,72,0,0,24.65,16.91,0,0,111.54,123.89,0,0,92,33,0,0,35,28,0,0,3,5,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,1095,11,32,4.94,300,382,1,9,7.64,0,0,0,0,0
581,Oronde Bascome,Bermuda,38,Bowler ,Right Handed Bat ,Right-arm medium,0,6,3,0,0,6,3,0,0,65,24,0,0,145,29,0,0,20,16,0,0,10.83,8,0,0,44.83,82.76,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,7.33,0,0,0,0,0,0,0,0,0,0
582,Chris Douglas,Bermuda,36,Bowler ,Left Handed Bat ,Right-arm offbreak,0,2,0,0,0,2,0,0,0,122,0,0,0,218,0,0,0,69,0,0,0,61,0,0,0,55.97,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,Ryan Steede,Bermuda,50,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,8,0,0,0,7,0,0,0,70,0,0,0,142,0,0,0,20,0,0,0,11.67,0,0,0,49.30,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,257,1,5,4.94,0,0,0,0,0,0,0,0,0,0
584,Dennico Hollis,Bermuda,37,Bowler ,Right Handed Bat,,0,1,0,0,0,1,0,0,0,15,0,0,0,26,0,0,0,15,0,0,0,0,0,0,0,57.70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,0,0,6.14,0,0,0,0,0,0,0,0,0,0
585,Zubin Surkari,Canada,46,Batsman ,Right Handed Bat ,Right-arm medium,0,23,4,0,0,21,3,0,0,323,10,0,0,642,33,0,0,49,6,0,0,17.94,3.33,0,0,50.32,30.31,0,0,30,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,Balaji Rao,Canada,48,Bowler ,Left Handed Bat ,Right-arm legbreak,0,10,4,0,0,8,4,0,0,59,32,0,0,87,30,0,0,24,22,0,0,7.38,10.67,0,0,67.82,106.67,0,0,4,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,448,1,12,5.67,84,107,0,6,7.64,0,0,0,0,0
